REGION,TERRITORIO
20 NORESTE,2005 ESCOBEDO
61 CHIAPAS,6101 TUXTLA
33 BAJIO,3303 IRAPUATO
40 METRO ORIENTE,4005 ACOLMAN
60 PUEBLA,6001 TEHUACAN
51 METRO PONIENTE,5105 TECAMAC
62 PENINSULA,6201 CANCUN
11 PACIFICO,1101 LA PAZ
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
21 HUASTECA,2107 TULANCINGO
33 BAJIO,3305 QUERÉTARO
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
41 METRO SURORIENTE,4101 IZTAPALAPA
52 VALLE DE TOLUCA,5203 LERMA
41 METRO SURORIENTE,4107 XOCHIMILCO
33 BAJIO,3303 IRAPUATO
62 PENINSULA,6205 PLAYA DEL CARMEN
41 METRO SURORIENTE,4104 TLALPAN
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
62 PENINSULA,6204 UMAN
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
40 METRO ORIENTE,4003 CHIMALHUACAN
40 METRO ORIENTE,4006 ECATEPEC
40 METRO ORIENTE,4004 TEXCOCO
21 HUASTECA,2104 ZACATECAS
50 METRO NORPONIENTE,5003 TLALNEPANTLA
10 FRONTERA OESTE,1001 TIJUANA
10 FRONTERA OESTE,1001 TIJUANA
60 PUEBLA,6002 PUEBLA
40 METRO ORIENTE,4005 ACOLMAN
60 PUEBLA,6006 XALAPA
50 METRO NORPONIENTE,5002 ATIZAPAN
42 SUR,4202 JIUTEPEC
63 GOLFO,6304 HUIMANGUILLO
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
33 BAJIO,3303 IRAPUATO
63 GOLFO,6302 COATZACOALCOS
62 PENINSULA,6205 PLAYA DEL CARMEN
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
50 METRO NORPONIENTE,5003 TLALNEPANTLA
10 FRONTERA OESTE,1004 HERMOSILLO
62 PENINSULA,6204 UMAN
42 SUR,4207 TLACOLULA
21 HUASTECA,2101 AGUASCALIENTES
41 METRO SURORIENTE,4104 TLALPAN
51 METRO PONIENTE,5103 BENITO JUAREZ
52 VALLE DE TOLUCA,5203 LERMA
41 METRO SURORIENTE,4107 XOCHIMILCO
30 COSTA OCCIDENTE,3002 JALISCO SUR
31 JALISCO,3105 TLAQUEPAQUE
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
60 PUEBLA,6003 ZACAPOAXTLA
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
21 HUASTECA,2105 TULA
61 CHIAPAS,6101 TUXTLA
11 PACIFICO,1101 LA PAZ
20 NORESTE,2005 ESCOBEDO
32 MICHOACÁN,3201 MORELIA
21 HUASTECA,2104 ZACATECAS
60 PUEBLA,6001 TEHUACAN
31 JALISCO,3102 ZAPOPAN
33 BAJIO,3301 LEON
60 PUEBLA,6006 XALAPA
40 METRO ORIENTE,4004 TEXCOCO
30 COSTA OCCIDENTE,3003 OCOTLAN
41 METRO SURORIENTE,4105 TLAHUAC
50 METRO NORPONIENTE,5002 ATIZAPAN
31 JALISCO,3103 GUADALAJARA
41 METRO SURORIENTE,4105 TLAHUAC
32 MICHOACÁN,3203 ZACAPU
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
61 CHIAPAS,6101 TUXTLA
10 FRONTERA OESTE,1001 TIJUANA
50 METRO NORPONIENTE,5004 COACALCO
31 JALISCO,3105 TLAQUEPAQUE
63 GOLFO,6303 VILLAHERMOSA
62 PENINSULA,6203 MERIDA
61 CHIAPAS,6104 JUCHITAN
41 METRO SURORIENTE,4102 ALVARO OBREGON
41 METRO SURORIENTE,4105 TLAHUAC
33 BAJIO,3305 QUERÉTARO
31 JALISCO,3105 TLAQUEPAQUE
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
30 COSTA OCCIDENTE,3002 JALISCO SUR
42 SUR,4202 JIUTEPEC
52 VALLE DE TOLUCA,5201 TOLUCA
42 SUR,4206 PUNGARABATO
20 NORESTE,2005 ESCOBEDO
61 CHIAPAS,6102 TAPACHULA
41 METRO SURORIENTE,4107 XOCHIMILCO
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
52 VALLE DE TOLUCA,5205 ATLACOMULCO
32 MICHOACÁN,3204 PATZCUARO
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
11 PACIFICO,1101 LA PAZ
52 VALLE DE TOLUCA,5202 VALLE DE BRAVO
40 METRO ORIENTE,4004 TEXCOCO
60 PUEBLA,6004 VERACRUZ
40 METRO ORIENTE,4006 ECATEPEC
62 PENINSULA,6203 MERIDA
63 GOLFO,6303 VILLAHERMOSA
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
20 NORESTE,2005 ESCOBEDO
41 METRO SURORIENTE,4104 TLALPAN
10 FRONTERA OESTE,1001 TIJUANA
21 HUASTECA,2103 SAN LUIS FORANEO
33 BAJIO,3303 IRAPUATO
41 METRO SURORIENTE,4101 IZTAPALAPA
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
11 PACIFICO,1103 MAZATLAN CULIACAN
33 BAJIO,3303 IRAPUATO
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
51 METRO PONIENTE,5106 NAUCALPAN
20 NORESTE,2002 GUADALUPE
31 JALISCO,3105 TLAQUEPAQUE
63 GOLFO,6305 CIUDAD DEL CARMEN
20 NORESTE,2002 GUADALUPE
41 METRO SURORIENTE,4106 CHALCO
51 METRO PONIENTE,5105 TECAMAC
50 METRO NORPONIENTE,5003 TLALNEPANTLA
41 METRO SURORIENTE,4101 IZTAPALAPA
63 GOLFO,6301 ACAYUCAN
31 JALISCO,3104 TONALA
10 FRONTERA OESTE,1001 TIJUANA
60 PUEBLA,6004 VERACRUZ
51 METRO PONIENTE,5105 TECAMAC
12 LAGUNA CHIHUAHUA,1205 COAHUILA
31 JALISCO,3103 GUADALAJARA
60 PUEBLA,6004 VERACRUZ
62 PENINSULA,6205 PLAYA DEL CARMEN
11 PACIFICO,1102 SINALOA
60 PUEBLA,6005 ORIZABA
63 GOLFO,6301 ACAYUCAN
62 PENINSULA,6201 CANCUN
10 FRONTERA OESTE,1001 TIJUANA
33 BAJIO,3304 CELAYA
40 METRO ORIENTE,4003 CHIMALHUACAN
20 NORESTE,2008 MARTINEZ DE LA TORRE
63 GOLFO,6301 ACAYUCAN
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
51 METRO PONIENTE,5106 NAUCALPAN
50 METRO NORPONIENTE,5004 COACALCO
60 PUEBLA,6002 PUEBLA
63 GOLFO,6303 VILLAHERMOSA
51 METRO PONIENTE,5101 CUAUHTEMOC
21 HUASTECA,2102 SAN LUIS POTOSÍ
20 NORESTE,2008 MARTINEZ DE LA TORRE
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
61 CHIAPAS,6104 JUCHITAN
20 NORESTE,2003 MONTERREY
61 CHIAPAS,6102 TAPACHULA
42 SUR,4201 CUERNAVACA
41 METRO SURORIENTE,4104 TLALPAN
41 METRO SURORIENTE,4101 IZTAPALAPA
51 METRO PONIENTE,5105 TECAMAC
40 METRO ORIENTE,4003 CHIMALHUACAN
21 HUASTECA,2106 PACHUCA
33 BAJIO,3303 IRAPUATO
52 VALLE DE TOLUCA,5207 TEXMELUCAN
62 PENINSULA,6203 MERIDA
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
40 METRO ORIENTE,4004 TEXCOCO
31 JALISCO,3103 GUADALAJARA
41 METRO SURORIENTE,4103 COYOACAN
20 NORESTE,2004 SAN PEDRO GARZA
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
42 SUR,4205 ACAPULCO
60 PUEBLA,6006 XALAPA
61 CHIAPAS,6102 TAPACHULA
21 HUASTECA,2106 PACHUCA
11 PACIFICO,1103 MAZATLAN CULIACAN
33 BAJIO,3305 QUERÉTARO
41 METRO SURORIENTE,4107 XOCHIMILCO
40 METRO ORIENTE,4005 ACOLMAN
20 NORESTE,2002 GUADALUPE
63 GOLFO,6301 ACAYUCAN
20 NORESTE,2005 ESCOBEDO
42 SUR,4207 TLACOLULA
52 VALLE DE TOLUCA,5201 TOLUCA
30 COSTA OCCIDENTE,3003 OCOTLAN
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
51 METRO PONIENTE,5101 CUAUHTEMOC
50 METRO NORPONIENTE,5004 COACALCO
51 METRO PONIENTE,5105 TECAMAC
20 NORESTE,2002 GUADALUPE
21 HUASTECA,2104 ZACATECAS
62 PENINSULA,6202 CAMPECHE
21 HUASTECA,2106 PACHUCA
20 NORESTE,2005 ESCOBEDO
41 METRO SURORIENTE,4106 CHALCO
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
12 LAGUNA CHIHUAHUA,1201 DURANGO
41 METRO SURORIENTE,4106 CHALCO
60 PUEBLA,6005 ORIZABA
21 HUASTECA,2101 AGUASCALIENTES
63 GOLFO,6304 HUIMANGUILLO
63 GOLFO,6305 CIUDAD DEL CARMEN
52 VALLE DE TOLUCA,5204 TIANGUISTENCO
51 METRO PONIENTE,5104 HUIXQUILUCAN
60 PUEBLA,6002 PUEBLA
42 SUR,4205 ACAPULCO
62 PENINSULA,6202 CAMPECHE
33 BAJIO,3302 SAN MIGUEL DE ALLENDE
60 PUEBLA,6002 PUEBLA
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
10 FRONTERA OESTE,1001 TIJUANA
41 METRO SURORIENTE,4107 XOCHIMILCO
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
61 CHIAPAS,6101 TUXTLA
10 FRONTERA OESTE,1004 HERMOSILLO
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
30 COSTA OCCIDENTE,3002 JALISCO SUR
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
41 METRO SURORIENTE,4106 CHALCO
31 JALISCO,3101 ALTOS JALISCO
21 HUASTECA,2103 SAN LUIS FORANEO
21 HUASTECA,2101 AGUASCALIENTES
11 PACIFICO,1103 MAZATLAN CULIACAN
51 METRO PONIENTE,5106 NAUCALPAN
52 VALLE DE TOLUCA,5203 LERMA
60 PUEBLA,6002 PUEBLA
33 BAJIO,3301 LEON
21 HUASTECA,2101 AGUASCALIENTES
52 VALLE DE TOLUCA,5207 TEXMELUCAN
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
21 HUASTECA,2105 TULA
50 METRO NORPONIENTE,5003 TLALNEPANTLA
33 BAJIO,3305 QUERÉTARO
42 SUR,4208 OAXACA
41 METRO SURORIENTE,4107 XOCHIMILCO
31 JALISCO,3103 GUADALAJARA
20 NORESTE,2004 SAN PEDRO GARZA
50 METRO NORPONIENTE,5002 ATIZAPAN
11 PACIFICO,1103 MAZATLAN CULIACAN
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
12 LAGUNA CHIHUAHUA,1203 JUAREZ
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
51 METRO PONIENTE,5105 TECAMAC
20 NORESTE,2008 MARTINEZ DE LA TORRE
21 HUASTECA,2107 TULANCINGO
11 PACIFICO,1102 SINALOA
20 NORESTE,2002 GUADALUPE
12 LAGUNA CHIHUAHUA,1205 COAHUILA
42 SUR,4205 ACAPULCO
31 JALISCO,3104 TONALA
42 SUR,4201 CUERNAVACA
31 JALISCO,3104 TONALA
33 BAJIO,3304 CELAYA
41 METRO SURORIENTE,4106 CHALCO
42 SUR,4207 TLACOLULA
32 MICHOACÁN,3204 PATZCUARO
60 PUEBLA,6002 PUEBLA
62 PENINSULA,6201 CANCUN
32 MICHOACÁN,3202 URUAPAN
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
31 JALISCO,3101 ALTOS JALISCO
52 VALLE DE TOLUCA,5202 VALLE DE BRAVO
30 COSTA OCCIDENTE,3003 OCOTLAN
50 METRO NORPONIENTE,5001 CUAUTITLAN IZCALLI
11 PACIFICO,1101 LA PAZ
51 METRO PONIENTE,5105 TECAMAC
20 NORESTE,2002 GUADALUPE
41 METRO SURORIENTE,4107 XOCHIMILCO
31 JALISCO,3105 TLAQUEPAQUE
60 PUEBLA,6004 VERACRUZ
52 VALLE DE TOLUCA,5207 TEXMELUCAN
31 JALISCO,3105 TLAQUEPAQUE
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
10 FRONTERA OESTE,1001 TIJUANA
30 COSTA OCCIDENTE,3004 COLIMA
21 HUASTECA,2101 AGUASCALIENTES
20 NORESTE,2006 TAMPICO
31 JALISCO,3103 GUADALAJARA
20 NORESTE,2008 MARTINEZ DE LA TORRE
40 METRO ORIENTE,4004 TEXCOCO
61 CHIAPAS,6104 JUCHITAN
42 SUR,4208 OAXACA
60 PUEBLA,6006 XALAPA
51 METRO PONIENTE,5103 BENITO JUAREZ
60 PUEBLA,6002 PUEBLA
42 SUR,4208 OAXACA
20 NORESTE,2005 ESCOBEDO
62 PENINSULA,6204 UMAN
21 HUASTECA,2103 SAN LUIS FORANEO
42 SUR,4204 QUECHULTENANGO
60 PUEBLA,6005 ORIZABA
20 NORESTE,2008 MARTINEZ DE LA TORRE
62 PENINSULA,6202 CAMPECHE
61 CHIAPAS,6102 TAPACHULA
10 FRONTERA OESTE,1002 MEXICALI
60 PUEBLA,6003 ZACAPOAXTLA
20 NORESTE,2002 GUADALUPE
51 METRO PONIENTE,5106 NAUCALPAN
21 HUASTECA,2106 PACHUCA
41 METRO SURORIENTE,4105 TLAHUAC
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
50 METRO NORPONIENTE,5002 ATIZAPAN
50 METRO NORPONIENTE,5001 CUAUTITLAN IZCALLI
30 COSTA OCCIDENTE,3004 COLIMA
51 METRO PONIENTE,5103 BENITO JUAREZ
20 NORESTE,2005 ESCOBEDO
31 JALISCO,3101 ALTOS JALISCO
42 SUR,4204 QUECHULTENANGO
10 FRONTERA OESTE,1003 GUAYMAS Y NOGALES
51 METRO PONIENTE,5104 HUIXQUILUCAN
50 METRO NORPONIENTE,5003 TLALNEPANTLA
41 METRO SURORIENTE,4105 TLAHUAC
50 METRO NORPONIENTE,5003 TLALNEPANTLA
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
61 CHIAPAS,6103 MEZCALAPA
30 COSTA OCCIDENTE,3002 JALISCO SUR
60 PUEBLA,6002 PUEBLA
31 JALISCO,3101 ALTOS JALISCO
20 NORESTE,2004 SAN PEDRO GARZA
31 JALISCO,3105 TLAQUEPAQUE
63 GOLFO,6301 ACAYUCAN
20 NORESTE,2005 ESCOBEDO
12 LAGUNA CHIHUAHUA,1205 COAHUILA
41 METRO SURORIENTE,4106 CHALCO
30 COSTA OCCIDENTE,3003 OCOTLAN
32 MICHOACÁN,3201 MORELIA
61 CHIAPAS,6102 TAPACHULA
11 PACIFICO,1101 LA PAZ
32 MICHOACÁN,3203 ZACAPU
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
32 MICHOACÁN,3204 PATZCUARO
20 NORESTE,2006 TAMPICO
41 METRO SURORIENTE,4105 TLAHUAC
10 FRONTERA OESTE,1001 TIJUANA
62 PENINSULA,6201 CANCUN
52 VALLE DE TOLUCA,5207 TEXMELUCAN
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
52 VALLE DE TOLUCA,5201 TOLUCA
62 PENINSULA,6205 PLAYA DEL CARMEN
41 METRO SURORIENTE,4107 XOCHIMILCO
52 VALLE DE TOLUCA,5203 LERMA
21 HUASTECA,2105 TULA
11 PACIFICO,1103 MAZATLAN CULIACAN
42 SUR,4207 TLACOLULA
33 BAJIO,3303 IRAPUATO
32 MICHOACÁN,3204 PATZCUARO
20 NORESTE,2002 GUADALUPE
41 METRO SURORIENTE,4104 TLALPAN
42 SUR,4201 CUERNAVACA
20 NORESTE,2008 MARTINEZ DE LA TORRE
31 JALISCO,3104 TONALA
20 NORESTE,2007 POZA RICA
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
63 GOLFO,6303 VILLAHERMOSA
51 METRO PONIENTE,5105 TECAMAC
61 CHIAPAS,6101 TUXTLA
60 PUEBLA,6006 XALAPA
63 GOLFO,6304 HUIMANGUILLO
50 METRO NORPONIENTE,5003 TLALNEPANTLA
41 METRO SURORIENTE,4105 TLAHUAC
51 METRO PONIENTE,5105 TECAMAC
11 PACIFICO,1102 SINALOA
20 NORESTE,2008 MARTINEZ DE LA TORRE
50 METRO NORPONIENTE,5004 COACALCO
31 JALISCO,3101 ALTOS JALISCO
31 JALISCO,3103 GUADALAJARA
10 FRONTERA OESTE,1001 TIJUANA
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
60 PUEBLA,6006 XALAPA
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
11 PACIFICO,1104 TEPIC
20 NORESTE,2007 POZA RICA
51 METRO PONIENTE,5103 BENITO JUAREZ
63 GOLFO,6303 VILLAHERMOSA
12 LAGUNA CHIHUAHUA,1202 TORREON
61 CHIAPAS,6104 JUCHITAN
12 LAGUNA CHIHUAHUA,1201 DURANGO
33 BAJIO,3304 CELAYA
50 METRO NORPONIENTE,5004 COACALCO
31 JALISCO,3103 GUADALAJARA
63 GOLFO,6303 VILLAHERMOSA
41 METRO SURORIENTE,4101 IZTAPALAPA
42 SUR,4208 OAXACA
50 METRO NORPONIENTE,5001 CUAUTITLAN IZCALLI
60 PUEBLA,6002 PUEBLA
60 PUEBLA,6001 TEHUACAN
51 METRO PONIENTE,5104 HUIXQUILUCAN
41 METRO SURORIENTE,4101 IZTAPALAPA
42 SUR,4207 TLACOLULA
33 BAJIO,3305 QUERÉTARO
50 METRO NORPONIENTE,5002 ATIZAPAN
31 JALISCO,3105 TLAQUEPAQUE
50 METRO NORPONIENTE,5003 TLALNEPANTLA
63 GOLFO,6302 COATZACOALCOS
41 METRO SURORIENTE,4103 COYOACAN
42 SUR,4205 ACAPULCO
42 SUR,4203 CUAUTLA
41 METRO SURORIENTE,4107 XOCHIMILCO
51 METRO PONIENTE,5106 NAUCALPAN
61 CHIAPAS,6104 JUCHITAN
10 FRONTERA OESTE,1004 HERMOSILLO
60 PUEBLA,6002 PUEBLA
60 PUEBLA,6002 PUEBLA
40 METRO ORIENTE,4004 TEXCOCO
41 METRO SURORIENTE,4107 XOCHIMILCO
11 PACIFICO,1102 SINALOA
60 PUEBLA,6004 VERACRUZ
51 METRO PONIENTE,5102 IZTACALCO
41 METRO SURORIENTE,4106 CHALCO
21 HUASTECA,2103 SAN LUIS FORANEO
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
51 METRO PONIENTE,5104 HUIXQUILUCAN
60 PUEBLA,6006 XALAPA
60 PUEBLA,6006 XALAPA
63 GOLFO,6305 CIUDAD DEL CARMEN
60 PUEBLA,6002 PUEBLA
20 NORESTE,2008 MARTINEZ DE LA TORRE
12 LAGUNA CHIHUAHUA,1205 COAHUILA
21 HUASTECA,2105 TULA
31 JALISCO,3105 TLAQUEPAQUE
42 SUR,4203 CUAUTLA
63 GOLFO,6302 COATZACOALCOS
63 GOLFO,6303 VILLAHERMOSA
10 FRONTERA OESTE,1001 TIJUANA
33 BAJIO,3305 QUERÉTARO
31 JALISCO,3101 ALTOS JALISCO
32 MICHOACÁN,3203 ZACAPU
40 METRO ORIENTE,4005 ACOLMAN
21 HUASTECA,2107 TULANCINGO
32 MICHOACÁN,3201 MORELIA
20 NORESTE,2003 MONTERREY
12 LAGUNA CHIHUAHUA,1205 COAHUILA
60 PUEBLA,6002 PUEBLA
21 HUASTECA,2107 TULANCINGO
63 GOLFO,6305 CIUDAD DEL CARMEN
41 METRO SURORIENTE,4103 COYOACAN
21 HUASTECA,2102 SAN LUIS POTOSÍ
60 PUEBLA,6006 XALAPA
51 METRO PONIENTE,5101 CUAUHTEMOC
11 PACIFICO,1103 MAZATLAN CULIACAN
33 BAJIO,3304 CELAYA
51 METRO PONIENTE,5105 TECAMAC
20 NORESTE,2007 POZA RICA
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
31 JALISCO,3101 ALTOS JALISCO
63 GOLFO,6302 COATZACOALCOS
32 MICHOACÁN,3201 MORELIA
42 SUR,4208 OAXACA
41 METRO SURORIENTE,4106 CHALCO
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
52 VALLE DE TOLUCA,5201 TOLUCA
61 CHIAPAS,6101 TUXTLA
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
11 PACIFICO,1102 SINALOA
41 METRO SURORIENTE,4107 XOCHIMILCO
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
21 HUASTECA,2105 TULA
41 METRO SURORIENTE,4106 CHALCO
61 CHIAPAS,6101 TUXTLA
61 CHIAPAS,6104 JUCHITAN
42 SUR,4203 CUAUTLA
52 VALLE DE TOLUCA,5203 LERMA
50 METRO NORPONIENTE,5004 COACALCO
60 PUEBLA,6002 PUEBLA
52 VALLE DE TOLUCA,5207 TEXMELUCAN
50 METRO NORPONIENTE,5004 COACALCO
60 PUEBLA,6005 ORIZABA
21 HUASTECA,2104 ZACATECAS
62 PENINSULA,6203 MERIDA
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
50 METRO NORPONIENTE,5004 COACALCO
21 HUASTECA,2107 TULANCINGO
51 METRO PONIENTE,5104 HUIXQUILUCAN
52 VALLE DE TOLUCA,5202 VALLE DE BRAVO
52 VALLE DE TOLUCA,5201 TOLUCA
21 HUASTECA,2105 TULA
51 METRO PONIENTE,5101 CUAUHTEMOC
10 FRONTERA OESTE,1001 TIJUANA
50 METRO NORPONIENTE,5004 COACALCO
20 NORESTE,2001 REYNOSA
30 COSTA OCCIDENTE,3003 OCOTLAN
31 JALISCO,3105 TLAQUEPAQUE
42 SUR,4202 JIUTEPEC
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
33 BAJIO,3303 IRAPUATO
50 METRO NORPONIENTE,5001 CUAUTITLAN IZCALLI
60 PUEBLA,6004 VERACRUZ
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
20 NORESTE,2003 MONTERREY
42 SUR,4201 CUERNAVACA
61 CHIAPAS,6104 JUCHITAN
51 METRO PONIENTE,5105 TECAMAC
21 HUASTECA,2107 TULANCINGO
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
20 NORESTE,2008 MARTINEZ DE LA TORRE
20 NORESTE,2006 TAMPICO
31 JALISCO,3103 GUADALAJARA
12 LAGUNA CHIHUAHUA,1205 COAHUILA
21 HUASTECA,2101 AGUASCALIENTES
52 VALLE DE TOLUCA,5204 TIANGUISTENCO
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
63 GOLFO,6304 HUIMANGUILLO
20 NORESTE,2007 POZA RICA
20 NORESTE,2006 TAMPICO
60 PUEBLA,6006 XALAPA
60 PUEBLA,6003 ZACAPOAXTLA
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
21 HUASTECA,2102 SAN LUIS POTOSÍ
50 METRO NORPONIENTE,5004 COACALCO
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
31 JALISCO,3103 GUADALAJARA
30 COSTA OCCIDENTE,3002 JALISCO SUR
61 CHIAPAS,6103 MEZCALAPA
41 METRO SURORIENTE,4105 TLAHUAC
33 BAJIO,3304 CELAYA
50 METRO NORPONIENTE,5005 AZCAPOTZALCO
42 SUR,4203 CUAUTLA
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
52 VALLE DE TOLUCA,5206 CHIAUTEMPAN
41 METRO SURORIENTE,4107 XOCHIMILCO
20 NORESTE,2008 MARTINEZ DE LA TORRE
40 METRO ORIENTE,4001 GUSTAVO A. MADERO
40 METRO ORIENTE,4003 CHIMALHUACAN
63 GOLFO,6302 COATZACOALCOS
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
32 MICHOACÁN,3203 ZACAPU
12 LAGUNA CHIHUAHUA,1204 CHIHUAHUA DELICIAS
63 GOLFO,6302 COATZACOALCOS
50 METRO NORPONIENTE,5002 ATIZAPAN
21 HUASTECA,2102 SAN LUIS POTOSÍ
41 METRO SURORIENTE,4107 XOCHIMILCO
11 PACIFICO,1104 TEPIC
32 MICHOACÁN,3204 PATZCUARO
61 CHIAPAS,6104 JUCHITAN
40 METRO ORIENTE,4002 NEZAHUALCOYOTL
41 METRO SURORIENTE,4102 ALVARO OBREGON
33 BAJIO,3301 LEON
32 MICHOACÁN,3202 URUAPAN
32 MICHOACÁN,3201 MORELIA
61 CHIAPAS,6101 TUXTLA
62 PENINSULA,6205 PLAYA DEL CARMEN
31 JALISCO,3105 TLAQUEPAQUE
62 PENINSULA,6205 PLAYA DEL CARMEN
60 PUEBLA,6002 PUEBLA
41 METRO SURORIENTE,4102 ALVARO OBREGON
21 HUASTECA,2107 TULANCINGO
